# featdisc games=200 players=2 seed=5001 weights=/tmp/fs_champ_2p_frozen.json decisions=58114 forced=2517 mean_candidates=11.899 max_candidates=43 successor_states=691487 elapsed_s=74.3
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
phi	HappyMargin	58114	0.647744	0.094693	5.170785e-1	6.000000e0	1.328808e0	0.389129	1	1.4470	2
phi	Discontent	58114	0.906976	0.879427	1.105672e-1	4.000000e0	2.976234e-1	0.371500	1	1.1014	1
phi	Uprising	58114	0.969956	0.956551	4.235296e-1	3.200000e1	2.896455e0	0.146223	1	1.0518	1
phi	CivilActions	58114	0.989779	0.000000	1.841209e-2	3.000000e0	1.010582e0	0.018219	1	1.0107	1
phi	MilitaryActions	58114	0.938896	0.000000	7.561001e-2	5.000000e0	1.041423e0	0.072603	1	1.0621	1
phi	CaLeft	58114	0.483291	0.175706	1.256444e0	9.000000e0	1.936355e0	0.648871	2	2.2327	4
phi	MaLeft	58114	0.397288	0.030715	9.255945e-1	3.000000e0	8.054266e-1	1.149198	2	1.8927	3
phi	TakeCostPaid	58114	0.496025	0.219964	1.232749e0	7.000000e0	1.255548e0	0.981842	2	2.2077	4
phi	RowUrgency	58114	0.412190	0.038149	1.711621e0	1.029634e2	8.185740e0	0.209098	2	3.5832	8
phi	RowBargainForgone	58114	0.497488	0.057766	9.758865e-1	8.993943e0	2.333672e0	0.418176	2	2.3541	5
phi	RowLastCopy	58114	0.476322	0.022232	1.046454e0	1.200000e1	2.336659e0	0.447842	2	1.8691	3
phi	RivalDesire	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	RivalTakeShare	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	RivalFreeCa	58114	0.999897	0.000120	1.720756e-4	4.000000e0	9.601836e-1	0.000179	1	1.0001	1
phi	RivalHandCivil	58114	1.000000	0.170234	0.000000e0	0.000000e0	1.276538e0	0.000000	1	1.0000	1
phi	RivalWonders	58114	1.000000	0.327701	0.000000e0	0.000000e0	9.398541e-1	0.000000	1	1.0000	1
phi	RivalWonderDeficit	58114	0.994459	0.759782	5.540834e-3	1.000000e0	6.078288e-1	0.009116	1	1.0055	1
phi	RivalScienceDeficit	58114	0.675018	0.482655	3.870152e-1	6.000000e0	1.141770e0	0.338961	1	1.3510	2
phi	RivalCultureDeficit	58114	0.714010	0.528513	3.791169e-1	9.000000e0	2.117922e0	0.179004	1	1.3452	2
phi	RivalHandPotential	58114	0.980142	0.213976	2.913696e-3	1.158123e1	8.801476e0	0.000331	1	1.0240	1
phi	RivalScienceStock	58114	0.991327	0.049713	2.264515e-2	6.000000e0	4.042225e0	0.005602	1	1.0087	1
phi	RivalFoodStock	58114	0.980968	0.149276	4.430946e-2	1.100000e1	2.091348e0	0.021187	1	1.0231	1
phi	RivalResourceStock	58114	0.978146	0.033417	6.127611e-2	1.200000e1	4.312827e0	0.014208	1	1.0259	1
phi	RivalFreeWorkers	58114	0.988110	0.693688	1.199367e-2	2.000000e0	7.350477e-1	0.016317	1	1.0119	1
